id_these,ID_hackathon_auteur,titre,nom_auteur,prenom_auteur,genre_auteur,annee_promo,sujet_date_min,sujet_date_max,url
ENCPOS_1851_02,h0402,"Organisation judiciaire du Languedoc, principalement dans les États d’Alfonse, comte de Poitiers et  de Toulouse (1249-1271)",Boutaric,Paul-Edgard,male,1851,1903,1271,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1851_02
ENCPOS_1851_03,h0586,Notice historique sur la secte des Cornificiens (XIIe siècle),Charronnet,Charles,male,1851,1903,1199,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1851_03
ENCPOS_1851_PREV,,,,,,,,,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1851_PREV
ENCPOS_1852_01,h1700,"De la paroisse rurale en Bretagne au IXe siècle. Du prince de paroisse, machtyern ou princeps plebis.","La Borderie, De",Louis-Arthur,male,1852,1902,899,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1852_01
ENCPOS_1852_02,h0070,Essai sur le régime des biens ou rapports pécuniaires entre les époux en Gaule jusqu’en 985,Auger,Ernest-Édouard,male,1852,1898,985,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1852_02
ENCPOS_1852_03,h2399,"De l’organisation du travail public dans les Gaules, avant et après la chute de l’empire romain",Passy,Louis,male,1852,1898,800,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1852_03
ENCPOS_1852_04,h2415,Notice sur le Roman de la Rose,Pécantin,Charles-François,male,1852,1903,1280,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1852_04
ENCPOS_1852_05,h2026,Essai sur l’histoire géographique et topographique de l’ancienne Touraine avant le xie siècle,Mabille,Louis-Émile,male,1852,1898,1000,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1852_05
ENCPOS_1852_06,h0145,"Traduction du poème d’Adalbéron, évêque de Laon",Baudoin,Adolphe,male,1852,1902,1030,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1852_06
ENCPOS_1852_07,h2525,Essai sur le commerce maritime de Narbonne,Port,Célestin,male,1852,1898,1852,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1852_07
ENCPOS_1852_08,h0608,Étude sur les verbes français,Chazaud,Alphonse-Martial,male,1852,1902,1850,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1852_08
ENCPOS_1852_09,h1012,Recherches sur le Châtelet de Paris,Dupont,Edmond-Louis,male,1852,1901,1850,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1852_09
ENCPOS_1852_10,h0659,Essai sur la grande chancellerie au XIVe siècle,Cocheris,Hippolyte-François-Jules-Marie,male,1852,1903,1399,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1852_10
ENCPOS_1852_PREV,,,,,,,,,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1852_PREV
ENCPOS_1853_01,h1248,Étude historique sur l’inquisition dans le midi de la France (1285 à 1328),Garin,Auguste,male,1853,1903,1328,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1853_01
ENCPOS_1853_02,h0241,Élection et couronnement du pape Jean XXII,Bertrandy,Martin,male,1853,1903,1316,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1853_02
ENCPOS_1853_03,h0559,Étude sur le développement des juridictions ecclésiastiques du IXe au XIVe siècle et sur l’origine de l’appel comme d’abus,"Chambrun, De",Charles-Adolphe,male,1853,1902,1399,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1853_03
ENCPOS_1853_04,h1408,Essai sur la procédure canonique depuis l’établissement du christianisme jusqu’aux Décrétales,Grégoire,Ernest,male,1853,1899,550,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1853_04
ENCPOS_1853_05,h1265,Essai sur la trêve de Dieu,"Gastines, De",Léonce,male,1853,1902,1299,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1853_05
ENCPOS_1853_06,h1339,Du Mundium,Giraud,Alfred,male,1853,1900,750,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1853_06
ENCPOS_1853_PREV,,,,,,,,,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1853_PREV
ENCPOS_1854_01,h0373,Recherches historiques sur la maison de Saint-Lazare de Paris,Boullé,Jules,male,1854,1901,1850,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1854_01
ENCPOS_1854_02,h0515,Du pouvoir législatif en France,Casati,Charles,male,1854,1901,1850,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1854_02
ENCPOS_1854_03,h0591,Essai sur la géographie territoriale et politique de l’Auvergne aux IXe et Xe siècles,Chassaing,Jean-Baptiste-François-Augustin,male,1854,1902,999,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1854_03
ENCPOS_1854_04,h1428,Étude sur les mots à multiples formes dans la langue française,Gros-Burdet,Jean-Édouard,male,1854,1902,1850,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1854_04
ENCPOS_1854_05,h1714,De l’institution des baillis sous saint Louis et sous Philippe III d’après les Olim (1254-1285),Laborde,Théodore,male,1854,1903,1285,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1854_05
ENCPOS_1854_06,h1726,"Essai sur l’état des personnes en Angleterre au xie siècle à la suite de la conquête normande, d’après les documents originaux et principalement le Domesday-Book, précédé de l’histoire de ce livre",Lacour,Louis,male,1854,1902,1099,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1854_06
ENCPOS_1854_07,h2285,Des sépultures chrétiennes en France du xie au XVIe siècle,Murcier,Arthur,male,1854,1902,1599,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1854_07
ENCPOS_1854_08,h2690,"Essai sur les variations des limites géographiques et de la constitution politique de l’Aquitaine, depuis César jusqu’à l’an 613",Rocquain De Courtemblay,Félix,male,1854,1899,613,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1854_08
ENCPOS_1854_09,h2822,De l’administration des communes au nord de la France vers 1260,Servois,Gustave,male,1854,1903,1270,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1854_09
ENCPOS_1854_PREV,,,,,,,,,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1854_PREV
ENCPOS_1855_01,h0104,De l’aveu de la partie et de la preuve testimoniale sous la première race,Barberaud,Guillaume-Charles,male,1855,1901,750,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1855_01
ENCPOS_1855_02,h0520,Essais sur l’origine de la commune de Besançon,Castan,Auguste,male,1855,1898,1499,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1855_02
ENCPOS_1855_03,h0852,"Rivalité des évêques et des comtes dans la province ecclésiastique de Sens, depuis le Xe jusqu’au XIIIe siècle",Delore,Félix Éloi,male,1855,1902,1299,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1855_03
ENCPOS_1855_04,h1282,"Essai sur la poésie liturgique au Moyen Âge : proses, tropes, offices rimés, suivi d’une histoire de la versification latine à la même époque",Gautier,Émile-Léon,male,1855,1901,1499,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1855_04
ENCPOS_1855_05,h1544,De l’état du commerce et de l’industrie à Amiens du XIIe au XVIe siècle,Hiélard,Charles-Léon,male,1855,1903,1599,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1855_05
ENCPOS_1855_06,h1667,Du commerce des marchands et usuriers lombards en France jusqu’à la fin du règne de Charles VI,Junca,Marie-Joseph-Étienne,male,1855,1902,1422,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1855_06
ENCPOS_1855_07,h2380,Géographie historique des bords du Rhône,Paradis,Auguste,male,1855,1898,1855,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1855_07
ENCPOS_1855_08,h2713,Office de l’amiral en France du XIIIe au XVIIe siècle,Rosenzweig,Louis,male,1855,1903,1699,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1855_08
ENCPOS_1855_PREV,,,,,,,,,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1855_PREV
ENCPOS_1856_01,h0092,Recherches sur les divisions politiques de la Gaule au VIe siècle,Baillet,Théophile,male,1856,1901,599,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1856_01
ENCPOS_1856_02,h0239,Monographie de l’orgue,Bertrand,Jean-Édouard,male,1856,1901,1850,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1856_02
ENCPOS_1856_03,h0278,Essai sur le consulat de la mer,Blancard,Louis,male,1856,1903,1499,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1856_03
ENCPOS_1856_04,h0753,Recherches sur le droit de grâce dans la monarchie française et particulièrement sous les rois de la troisième race,Croset,Ernest,male,1856,1902,1499,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1856_04
ENCPOS_1856_05,h0894,Du symbolisme dans la poésie liturgique,Desjardins,Gustave,male,1856,1901,1499,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1856_05
ENCPOS_1856_06,h1457,Essai sur les causes de la dépopulation de la Dombes et l’origine de ses étangs,Guigue,Claude,female,1856,1901,1850,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1856_06
ENCPOS_1856_07,h2531,Christine de Pisan : sa vie et ses œuvres,Pougin,Paul,male,1856,1903,1430,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1856_07
ENCPOS_1856_08,h2607,"Le Collège de Sorbonne, son fondateur, ses origines, sa constitution (de l’an 1250 jusqu’à l’époque de la restauration du collège sous le cardinal de Richelieu)",Régnier,abbé Louis,male,1856,1903,1699,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1856_08
ENCPOS_1856_09,h2840,"Essai sur les poésies de Gautier de Coincy, grand prieur de l’abbaye de Saint-Médard de Soissons",Soehnée,Wilhelm,male,1856,1903,1236,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1856_09
ENCPOS_1856_PREV,,,,,,,,,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1856_PREV
ENCPOS_1857_01,h0151,Étude sur l’histoire de l’agriculture au temps des Francs : maison rustique mérovingienne,Bauquier,Charles,male,1857,1901,750,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1857_01
ENCPOS_1857_02,h0496,"Essai sur les clercs notaires et secrétaires du roi depuis leur établissement jusqu’en 1483, précédé d’une notice sur les Referendarii, Cancellarii et Notarii sous les deux premières races, et sous la troisième jusqu’à Philippe IV",Campardon,Louis-Émile,male,1857,1902,1483,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1857_02
ENCPOS_1857_03,h1695,Le Conseil du roi au XIVe siècle,"L’épinois, De",Henri,male,1857,1903,1399,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1857_03
ENCPOS_1857_04,h1693,Des cours colongères en Alsace,Kroeber,Auguste,male,1857,1901,1850,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1857_04
ENCPOS_1857_05,h1891,"Le domaine, le revenu, le prix des choses dans le comté de Champagne en 1275-1287 et en 1340",Lefèvre,André,male,1857,1903,1340,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1857_05
ENCPOS_1857_06,h2590,"Du pillage de la maison et des biens de l’évêque, ve au XIIIe siècle",Raymond,Paul,male,1857,1901,1299,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1857_06
ENCPOS_1857_PREV,,,,,,,,,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1857_PREV
ENCPOS_1858_02,h0772,Notice sur le cartulaire de l’abbaye de Vierzon,Daiguson,Maurice,male,1858,1902,1499,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1858_02
ENCPOS_1858_03,h0898,Essai sur l’origine et l’organisation des états provinciaux dans la Flandre wallonne,Desplanque,Alexandre,male,1858,1899,1850,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1858_03
ENCPOS_1858_04,h1375,Étude sur l’établissement des généraux des aides,Gouget,Alexandre,male,1858,1902,1499,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1858_04
ENCPOS_1858_05,h1742,Étude critique sur la vie et l’ouvrage de Dudon de Saint-Quentin (De moribus et actis primorum Normanniae ducum libri tres),Lair,Jules,male,1858,1902,1099,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1858_05
ENCPOS_1858_06,h2008,Essai sur l’histoire et l’organisation du greffe au Parlement de Paris depuis les origines jusqu’au XVIe siècle,Lot,Henri,male,1858,1903,1599,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1858_06
ENCPOS_1858_07,h2017,"Étude historique sur la Jacquerie, d’après des documents en grande partie inédits",Luce,Siméon,male,1858,1903,1358,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1858_07
ENCPOS_1858_08,h2430,Étude historique et critique sur l’origine du ministère public,Périn,Jules,male,1858,1898,1850,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1858_08
ENCPOS_1858_09,h2615,De l’office du grand bouteiller et du grand échanson de France,Rendu,Athanase-Louis,male,1858,1901,1789,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1858_09
ENCPOS_1858_10,h2931,Essai sur le polyptyque et le premier cartulaire de Montier-en-Der,Thomeuf,Paul,male,1858,1901,1399,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1858_10
ENCPOS_1858_NEXT,,,,,,,,,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1858_NEXT
ENCPOS_1858_PREV,,,,,,,,,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1858_PREV
ENCPOS_1859_01,h1724,Histoire du consulat de Cahors de 1200 à 1351,Lacombe,Paul,male,1859,1903,1351,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1859_01
ENCPOS_1859_02,h0616,Thèse sur le cartulaire de l’abbaye de Pontigny (Yonne),Chéron,Paul-Emmanuel,male,1859,1903,1499,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1859_02
ENCPOS_1859_03,h0560,Thèse sur le droit de chasse au Moyen Âge,"Chambur[E], De",Henri,male,1859,1901,1499,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1859_03
ENCPOS_1859_04,h2151,Administration d’une monnoyerie royale au Moyen Âge,Maupré,François,male,1859,1902,1499,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1859_04
ENCPOS_1859_05,h1384,Des origines de la commune de Dijon,"Gouvenain, De",Louis,male,1859,1903,1183,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1859_05
ENCPOS_1860_01,h1031,"Philippe le Bel et Guy de Dampierre, essai sur la guerre de Flandre (1296-1304)",Durande,Henri-Amédée,male,1860,1903,1304,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1860_01
ENCPOS_1860_02,h1113,Essais historiques sur le règne de Charles le Chauve,Faugeron,Hector-Paul,male,1860,1902,877,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1860_02
ENCPOS_1860_03,h1872,Étude sur l’administration royale en Touraine de Philippe Auguste à Philippe le Bel,Lebrethon,Achille,male,1860,1903,1314,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1860_03
ENCPOS_1860_04,h1883,"De l’autorité de Grégoire de Tours, étude sur l’Histoire des Francs",Lecoy,Albert,male,1860,1901,594,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1860_04
ENCPOS_1860_05,h2192,Recherches sur la langue parlée en Gaule aux temps barbares (Ve-IXe siècle),Meyer,Paul,male,1860,1901,899,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1860_05
ENCPOS_1860_06,h2948,Essai sur les révolutions intérieures de la ville de Beauvais depuis l’invasion franke jusqu’à l’établissement de la commune,Tourillon,Paul,male,1860,1900,1099,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1860_06
ENCPOS_1860_PREV,,,,,,,,,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1860_PREV
ENCPOS_1861_01,h0454,Essai sur la vie du roi Robert et sa politique,Buchère,Clément-Paul,male,1861,1902,1031,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1861_01
ENCPOS_1861_02,h1575,Étude sur les désinences de la conjugaison française au XIIe siècle (d’après une traduction des psaumes exécutée à cette époque et conservée actuellement à la bibliothèque Bodléienne),Hubert,Théodore,male,1861,1903,1199,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1861_02
ENCPOS_1861_03,h2418,"Quelques observations sur le règne d’Henri Ier, roi de France",Pélicier,Paul,male,1861,1902,1060,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1861_03
ENCPOS_1861_04,h2391,Du rôle de l’accent latin dans la langue française,Paris,Gaston,male,1861,1898,1862,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1861_04
ENCPOS_1861_05,h2759,"De l’honor, seigneurie territoriale du Languedoc et particulièrement de l’honor des Juifs, du xie au XIVe siècle",Saige,Gustave,male,1861,1902,1399,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1861_05
ENCPOS_1861_06,h3036,Essai sur la juridiction et la procédure criminelle du Parlement pendant la première moitié du XIVe siècle,Veyrier Du Muraud,Paul,male,1861,1903,1350,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1861_06
ENCPOS_1861_07,h3069,Étude sur la « cour du vicomte » ou juridiction bourgeoise en Orient au temps des croisades,Viollet,Paul,male,1861,1903,1299,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1861_07
ENCPOS_1861_NEXT,,,,,,,,,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1861_NEXT
ENCPOS_1861_PREV,,,,,,,,,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1861_PREV
ENCPOS_1862_01,h0878,Clovis et ses historiens,Deprez,Michel,male,1862,1901,550,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1862_01
ENCPOS_1862_02,h1163,Recherches sur le formulaire usité dans la chancellerie royale sous les premiers successeurs de Hugues Capet,"Fleury, De",Paul,male,1862,1902,1099,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1862_02
ENCPOS_1862_03,h1453,Examen du traité qui réunit le Dauphiné à la France et des négociations qui l’ont précédé et suivi,Guiffrey,Jules-Joseph,male,1862,1903,1349,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1862_03
ENCPOS_1862_04,h1641,Essai historique sur l’organisation de la principauté française de Morée pendant les XIIIe et XIVe siècles,Joigny,Edmond,male,1862,1903,1399,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1862_04
ENCPOS_1862_05,h1715,Étude sur l’hôtel des rois de France,"Laborde, De",Joseph,male,1862,1903,1499,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1862_05
ENCPOS_1862_06,h2729,Essai sur la foire Saint-Germain,Roulland,Léon,male,1862,1901,1850,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1862_06
ENCPOS_1862_07,h2765,Essai sur l’instruction publique en France sous les Mérovingiens,"Saint-Mauris, De",René,male,1862,1901,799,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1862_07
ENCPOS_1862_08,h2967,Recherches sur les chartes communales de la Franche-Comté et en particulier sur celle de Montbéliard,Tuetey,Alexandre,male,1862,1902,1099,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1862_08
ENCPOS_1862_NEXT,,,,,,,,,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1862_NEXT
ENCPOS_1862_PREV,,,,,,,,,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1862_PREV
ENCPOS_1863_01,h0040,Institutions militaires de Charlemagne,Arcelin,Adrien,male,1863,1902,830,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1863_01
ENCPOS_1863_03,h0410,Essai sur la topographie de la Saintonge du vie au XIIIe siècle (507-1204),Bouyer,Adolphe,male,1863,1901,1204,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1863_03
ENCPOS_1863_04,h0716,Essai sur les origines de la phonétique française,Coudre,Joseph,male,1863,1901,1499,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1863_04
ENCPOS_1863_05,h1177,Étude de géographie comparée sur le territoire de l’ancien diocèse d’Autun,"Fontenay, De",Harold,male,1863,1901,1499,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1863_05
ENCPOS_1863_06,h2765,Essai sur l’histoire de l’instruction publique en France sous les Mérovingiens,"Saint-Mauris, De",René,male,1863,1901,750,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1863_06
ENCPOS_1863_07,h2640,Recherches sur la condition des personnes et des terres en Poitou au Xe siècle (935-1030),Richard,Alfred,male,1863,1902,1030,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1863_07
ENCPOS_1863_NEXT,,,,,,,,,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1863_NEXT
ENCPOS_1863_PREV,,,,,,,,,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1863_PREV
ENCPOS_1864_01,h0001,De la municipalité et de la république d’Avignon aux XIIe et XIIIe siècles,Achard,Félix,male,1864,1903,1299,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1864_01
ENCPOS_1864_02,h0012,Études sur le droit mérovingien d’après la loi des Francs ripuaires,Alglave,Émile,male,1864,1901,800,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1864_02
ENCPOS_1864_03,h0210,Essai sur la vie et les œuvres d’Alain Chartier,Bernard,Daniel,male,1864,1903,1449,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1864_03
ENCPOS_1864_04,h0276,Essai historique sur le colonat en Gaule depuis les premières conquêtes romaines jusqu’à l’établissement du servage (283 av. J.-C.-877 ap.J.-C.),Blanc,Félix,male,1864,1899,877,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1864_04
ENCPOS_1864_05,h0859,Du vol et de sa répression d’après les lois germaines,Demarsy,Arthur,male,1864,1901,800,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1864_05
ENCPOS_1864_06,h0990,De la diplomatique de Guillaume le Conquérant,Duhamel,Léopold,male,1864,1902,1087,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1864_06
ENCPOS_1864_07,h1047,"De l’état des personnes et des terres dans le diocèse de Séez au XIIe siècle, d’après le cartulaire de l’abbaye de Saint-Martin de Séez",Duval,Louis,male,1864,1903,1199,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1864_07
ENCPOS_1864_08,h1148,Essai historique sur les origines de la gabelle et sur l’exploitation des salines de Lons-le-Saunier et de Salins jusqu’ au XIVe siècle,Finot,Jules,male,1864,1903,1399,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1864_08
ENCPOS_1864_09,h1924,Études sur la Lex romana Visigothorum et l’administration romaine sous la domination des Visigoths,Lemonnier,Henry,male,1864,1900,799,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1864_09
ENCPOS_1864_10,h2044,Étude historique sur les écoles épiscopales et monastiques depuis Charlemagne jusqu’à la création des universités,Maître,Léon,male,1864,1902,1299,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1864_10
ENCPOS_1864_11,h2416,Essai sur les causes de la grandeur de l’abbaye de Cluny,Pécoul,Auguste,male,1864,1902,1199,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1864_11
