id_these;ID_hackathon_auteur;titre;nom_auteur;prenom_auteur;genre_auteur;annee_promo;sujet_date_min;sujet_date_max;url;id_hackaton;Places
ENCPOS_1852_02;h0070;Essai sur le régime des biens ou rapports pécuniaires entre les époux en Gaule jusqu’en 985;Auger;Ernest-Édouard;male;1852;1898;985;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1852_02;h0070;Gaule
ENCPOS_1852_03;h2399;De l’organisation du travail public dans les Gaules, avant et après la chute de l’empire romain;Passy;Louis;male;1852;1898;800;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1852_03;h2399;Gaules
ENCPOS_1852_05;h2026;Essai sur l’histoire géographique et topographique de l’ancienne Touraine avant le xie siècle;Mabille;Louis-Émile;male;1852;1898;1000;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1852_05;h2026;Touraine
ENCPOS_1852_06;h0145;Traduction du poème d’Adalbéron, évêque de Laon;Baudoin;Adolphe;male;1852;1902;1030;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1852_06;h0145;Laon
ENCPOS_1852_07;h2525;Essai sur le commerce maritime de Narbonne;Port;Célestin;male;1852;1898;1852;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1852_07;h2525;Narbonne
ENCPOS_1852_09;h1012;Recherches sur le Châtelet de Paris;Dupont;Edmond-Louis;male;1852;1901;1850;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1852_09;h1012;Châtelet de Paris
ENCPOS_1853_01;h1248;Étude historique sur l’inquisition dans le midi de la France (1285 à 1328);Garin;Auguste;male;1853;1903;1328;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1853_01;h1248;France
ENCPOS_1854_01;h0373;Recherches historiques sur la maison de Saint-Lazare de Paris;Boullé;Jules;male;1854;1901;1850;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1854_01;h0373;Saint-Lazare
ENCPOS_1854_02;h0515;Du pouvoir législatif en France;Casati;Charles;male;1854;1901;1850;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1854_02;h0515;France
ENCPOS_1854_03;h0591;Essai sur la géographie territoriale et politique de l’Auvergne aux IXe et Xe siècles;Chassaing;Jean-Baptiste-François-Augustin;male;1854;1902;999;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1854_03;h0591;Auvergne
ENCPOS_1854_06;h1726;Essai sur l’état des personnes en Angleterre au xie siècle à la suite de la conquête normande, d’après les documents originaux et principalement le Domesday-Book, précédé de l’histoire de ce livre;Lacour;Louis;male;1854;1902;1099;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1854_06;h1726;Angleterre
ENCPOS_1854_07;h2285;Des sépultures chrétiennes en France du xie au XVIe siècle;Murcier;Arthur;male;1854;1902;1599;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1854_07;h2285;France
ENCPOS_1854_08;h2690;Essai sur les variations des limites géographiques et de la constitution politique de l’Aquitaine, depuis César jusqu’à l’an 613;Rocquain De Courtemblay;Félix;male;1854;1899;613;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1854_08;h2690;Aquitaine
ENCPOS_1854_09;h2822;De l’administration des communes au nord de la France vers 1260;Servois;Gustave;male;1854;1903;1270;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1854_09;h2822;France
ENCPOS_1855_02;h0520;Essais sur l’origine de la commune de Besançon;Castan;Auguste;male;1855;1898;1499;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1855_02;h0520;de Besançon
ENCPOS_1855_05;h1544;De l’état du commerce et de l’industrie à Amiens du XIIe au XVIe siècle;Hiélard;Charles-Léon;male;1855;1903;1599;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1855_05;h1544;Amiens
ENCPOS_1855_06;h1667;Du commerce des marchands et usuriers lombards en France jusqu’à la fin du règne de Charles VI;Junca;Marie-Joseph-Étienne;male;1855;1902;1422;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1855_06;h1667;France
ENCPOS_1855_07;h2380;Géographie historique des bords du Rhône;Paradis;Auguste;male;1855;1898;1855;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1855_07;h2380;Rhône
ENCPOS_1855_08;h2713;Office de l’amiral en France du XIIIe au XVIIe siècle;Rosenzweig;Louis;male;1855;1903;1699;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1855_08;h2713;France
ENCPOS_1856_01;h0092;Recherches sur les divisions politiques de la Gaule au VIe siècle;Baillet;Théophile;male;1856;1901;599;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1856_01;h0092;Gaule
ENCPOS_1856_06;h1457;Essai sur les causes de la dépopulation de la Dombes et l’origine de ses étangs;Guigue;Claude;female;1856;1901;1850;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1856_06;h1457;Dombes
ENCPOS_1856_08;h2607;Le Collège de Sorbonne, son fondateur, ses origines, sa constitution (de l’an 1250 jusqu’à l’époque de la restauration du collège sous le cardinal de Richelieu);Régnier;abbé Louis;male;1856;1903;1699;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1856_08;h2607;Collège de Sorbonne
ENCPOS_1856_09;h2840;Essai sur les poésies de Gautier de Coincy, grand prieur de l’abbaye de Saint-Médard de Soissons;Soehnée;Wilhelm;male;1856;1903;1236;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1856_09;h2840;abbaye de Saint-Médard de Soissons
ENCPOS_1857_04;h1693;Des cours colongères en Alsace;Kroeber;Auguste;male;1857;1901;1850;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1857_04;h1693;Alsace
ENCPOS_1857_05;h1891;Le domaine, le revenu, le prix des choses dans le comté de Champagne en 1275-1287 et en 1340;Lefèvre;André;male;1857;1903;1340;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1857_05;h1891;comté de Champagne
ENCPOS_1858_02;h0772;Notice sur le cartulaire de l’abbaye de Vierzon;Daiguson;Maurice;male;1858;1902;1499;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1858_02;h0772;abbaye de Vierzon
ENCPOS_1858_03;h0898;Essai sur l’origine et l’organisation des états provinciaux dans la Flandre wallonne;Desplanque;Alexandre;male;1858;1899;1850;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1858_03;h0898;Flandre wallonne
ENCPOS_1858_06;h2008;Essai sur l’histoire et l’organisation du greffe au Parlement de Paris depuis les origines jusqu’au XVIe siècle;Lot;Henri;male;1858;1903;1599;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1858_06;h2008;Paris
ENCPOS_1858_10;h2931;Essai sur le polyptyque et le premier cartulaire de Montier-en-Der;Thomeuf;Paul;male;1858;1901;1399;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1858_10;h2931;Montier-en-Der
ENCPOS_1859_01;h1724;Histoire du consulat de Cahors de 1200 à 1351;Lacombe;Paul;male;1859;1903;1351;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1859_01;h1724;Cahors
ENCPOS_1859_02;h0616;Thèse sur le cartulaire de l’abbaye de Pontigny (Yonne);Chéron;Paul-Emmanuel;male;1859;1903;1499;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1859_02;h0616;abbaye de Pontigny
ENCPOS_1859_02;h0616;Thèse sur le cartulaire de l’abbaye de Pontigny (Yonne);Chéron;Paul-Emmanuel;male;1859;1903;1499;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1859_02;h0616;Yonne
ENCPOS_1859_05;h1384;Des origines de la commune de Dijon;Gouvenain, De;Louis;male;1859;1903;1183;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1859_05;h1384;Dijon
ENCPOS_1860_03;h1872;Étude sur l’administration royale en Touraine de Philippe Auguste à Philippe le Bel;Lebrethon;Achille;male;1860;1903;1314;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1860_03;h1872;Touraine
ENCPOS_1860_05;h2192;Recherches sur la langue parlée en Gaule aux temps barbares (Ve-IXe siècle);Meyer;Paul;male;1860;1901;899;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1860_05;h2192;Gaule
ENCPOS_1860_06;h2948;Essai sur les révolutions intérieures de la ville de Beauvais depuis l’invasion franke jusqu’à l’établissement de la commune;Tourillon;Paul;male;1860;1900;1099;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1860_06;h2948;Beauvais
ENCPOS_1861_02;h1575;Étude sur les désinences de la conjugaison française au XIIe siècle (d’après une traduction des psaumes exécutée à cette époque et conservée actuellement à la bibliothèque Bodléienne);Hubert;Théodore;male;1861;1903;1199;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1861_02;h1575;bibliothèque Bodléienne
ENCPOS_1861_03;h2418;Quelques observations sur le règne d’Henri Ier, roi de France;Pélicier;Paul;male;1861;1902;1060;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1861_03;h2418;roi de France
ENCPOS_1861_05;h2759;De l’honor, seigneurie territoriale du Languedoc et particulièrement de l’honor des Juifs, du xie au XIVe siècle;Saige;Gustave;male;1861;1902;1399;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1861_05;h2759;Languedoc
ENCPOS_1862_03;h1453;Examen du traité qui réunit le Dauphiné à la France et des négociations qui l’ont précédé et suivi;Guiffrey;Jules-Joseph;male;1862;1903;1349;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1862_03;h1453;Dauphiné
ENCPOS_1862_04;h1641;Essai historique sur l’organisation de la principauté française de Morée pendant les XIIIe et XIVe siècles;Joigny;Edmond;male;1862;1903;1399;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1862_04;h1641;Morée
ENCPOS_1862_07;h2765;Essai sur l’instruction publique en France sous les Mérovingiens;Saint-Mauris, De;René;male;1862;1901;799;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1862_07;h2765;France
ENCPOS_1862_08;h2967;Recherches sur les chartes communales de la Franche-Comté et en particulier sur celle de Montbéliard;Tuetey;Alexandre;male;1862;1902;1099;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1862_08;h2967;Montbéliard
ENCPOS_1863_03;h0410;Essai sur la topographie de la Saintonge du vie au XIIIe siècle (507-1204);Bouyer;Adolphe;male;1863;1901;1204;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1863_03;h0410;Saintonge
ENCPOS_1863_05;h1177;Étude de géographie comparée sur le territoire de l’ancien diocèse d’Autun;Fontenay, De;Harold;male;1863;1901;1499;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1863_05;h1177;diocèse d'Autun
ENCPOS_1863_06;h2765;Essai sur l’histoire de l’instruction publique en France sous les Mérovingiens;Saint-Mauris, De;René;male;1863;1901;750;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1863_06;h2765;France
ENCPOS_1863_07;h2640;Recherches sur la condition des personnes et des terres en Poitou au Xe siècle (935-1030);Richard;Alfred;male;1863;1902;1030;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1863_07;h2640;Poitou
ENCPOS_1864_01;h0001;De la municipalité et de la république d’Avignon aux XIIe et XIIIe siècles;Achard;Félix;male;1864;1903;1299;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1864_01;h0001;république d'Avignon
ENCPOS_1864_04;h0276;Essai historique sur le colonat en Gaule depuis les premières conquêtes romaines jusqu’à l’établissement du servage (283 av. J.-C.-877 ap.J.-C.);Blanc;Félix;male;1864;1899;877;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1864_04;h0276;Gaule
ENCPOS_1864_07;h1047;De l’état des personnes et des terres dans le diocèse de Séez au XIIe siècle, d’après le cartulaire de l’abbaye de Saint-Martin de Séez;Duval;Louis;male;1864;1903;1199;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1864_07;h1047;diocèse de Séez
ENCPOS_1864_07;h1047;De l’état des personnes et des terres dans le diocèse de Séez au XIIe siècle, d’après le cartulaire de l’abbaye de Saint-Martin de Séez;Duval;Louis;male;1864;1903;1199;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1864_07;h1047;abbaye de Saint-Martin de Séez
ENCPOS_1864_08;h1148;Essai historique sur les origines de la gabelle et sur l’exploitation des salines de Lons-le-Saunier et de Salins jusqu’ au XIVe siècle;Finot;Jules;male;1864;1903;1399;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1864_08;h1148;Lons-le-Saunier
ENCPOS_1864_08;h1148;Essai historique sur les origines de la gabelle et sur l’exploitation des salines de Lons-le-Saunier et de Salins jusqu’ au XIVe siècle;Finot;Jules;male;1864;1903;1399;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1864_08;h1148;Salins
ENCPOS_1864_11;h2416;Essai sur les causes de la grandeur de l’abbaye de Cluny;Pécoul;Auguste;male;1864;1902;1199;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1864_11;h2416;abbaye de Cluny
ENCPOS_1864_12;h2666;Essai sur la domination des empereurs d’Allemagne en Dauphiné et en Provence au Moyen Âge;Ripert-Monclar, De;François;male;1864;1902;1350;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1864_12;h2666;Allemagne
ENCPOS_1864_12;h2666;Essai sur la domination des empereurs d’Allemagne en Dauphiné et en Provence au Moyen Âge;Ripert-Monclar, De;François;male;1864;1902;1350;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1864_12;h2666;Dauphiné
ENCPOS_1864_12;h2666;Essai sur la domination des empereurs d’Allemagne en Dauphiné et en Provence au Moyen Âge;Ripert-Monclar, De;François;male;1864;1902;1350;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1864_12;h2666;Provence
ENCPOS_1865_04;h0439;Essai sur le texte ancien et la chronologie du cartulaire de Brioude (Liber de honoribus sancto Juliano collatis);Bruel;Alexandre;male;1865;1901;1499;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1865_04;h0439;Brioude
ENCPOS_1865_06;h0927;Essai sur la vie et les principales œuvres de Pierre de La Palu, patriarche de Jérusalem, 1275 ou 1280-1342;Doinel;Jules;male;1865;1903;1342;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1865_06;h0927;Jérusalem
ENCPOS_1865_07;h1898;"Notice sur la vie et les ouvrages de Philippe de Maizières, chancelier de Chypre et Conseiller de Charles V; Étude sur le Songe du vieil pèlerin";Lefoullon;Anatole;male;1865;1903;1380;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1865_07;h1898;Chypre
ENCPOS_1866_01;h0720;Les villes neuves en France du xie au XIVe siècle, étude sur leur origine, leur histoire, leur mode de formation, leur organisation  municipale et leurs privilèges;Courajod;Louis;male;1866;1902;1399;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1866_01;h0720;France
ENCPOS_1866_02;h1098;De l’organisation du travail industriel à Paris aux XIIIe et XIVe siècles;Fagniez;Gustave;male;1866;1903;1399;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1866_02;h1098;Paris
ENCPOS_1866_03;h1957;Essai sur deux comtes de Nevers : Hervé de Donzy, Guy de Forez, Mahaut de Courtenay, comtes et comtesse de Nevers de 1199 à 1257;Lespinasse, De;René;male;1866;1903;1257;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1866_03;h1957;Nevers
ENCPOS_1866_05;h2222;Essai sur l’organisation et la procédure des officialités dans les trois diocèses de Lausanne, Vienne et Grenoble;Molard;Francis;male;1866;1903;1399;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1866_05;h2222;Lausanne
ENCPOS_1866_05;h2222;Essai sur l’organisation et la procédure des officialités dans les trois diocèses de Lausanne, Vienne et Grenoble;Molard;Francis;male;1866;1903;1399;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1866_05;h2222;Vienne
ENCPOS_1866_05;h2222;Essai sur l’organisation et la procédure des officialités dans les trois diocèses de Lausanne, Vienne et Grenoble;Molard;Francis;male;1866;1903;1399;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1866_05;h2222;Grenoble
ENCPOS_1866_06;h2852;Des études hébraïques et exégétiques au Moyen Âge chez les chrétiens d’Occident;Soury;Jules;male;1866;1902;1499;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1866_06;h2852;Occident
ENCPOS_1867_02;h0320;La langue française à Metz d’après les documents originaux du XIIIe siècle, monographie du dialecte lorrain;Bonnardot;François;male;1867;1903;1299;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1867_02;h0320;Metz
ENCPOS_1867_05;h0957;Recherches sur le lieu d’origine, la famille et la vie de Guillaume des Roches, sénéchal d’Anjou, du Maine et de Touraine, jusqu’à la conquête de ces trois provinces par Philippe-Auguste (1040-1204);Dubois;Gaston;male;1867;1902;1204;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1867_05;h0957;Anjou
ENCPOS_1867_05;h0957;Recherches sur le lieu d’origine, la famille et la vie de Guillaume des Roches, sénéchal d’Anjou, du Maine et de Touraine, jusqu’à la conquête de ces trois provinces par Philippe-Auguste (1040-1204);Dubois;Gaston;male;1867;1902;1204;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1867_05;h0957;Maine
ENCPOS_1867_05;h0957;Recherches sur le lieu d’origine, la famille et la vie de Guillaume des Roches, sénéchal d’Anjou, du Maine et de Touraine, jusqu’à la conquête de ces trois provinces par Philippe-Auguste (1040-1204);Dubois;Gaston;male;1867;1902;1204;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1867_05;h0957;Touraine
ENCPOS_1867_08;h2614;Seigneurie du roi de France sur la république de Gênes (1396-1409);Rendu;Armand;male;1867;1903;1409;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1867_08;h2614;république de Gênes
ENCPOS_1867_09;h2923;Études sur l’architecture religieuse de l’Agenais du Xe au XVIe siècle;Tholin;Georges;male;1867;1902;1599;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1867_09;h2923;Agenais
ENCPOS_1867_10;h3034;L’abbaye Saint-Victor de Paris, depuis sa fondation jusqu’au temps de saint Louis, 1108-1229 : histoire, état intérieur, enseignement de son école;Vétault;Alphonse;male;1867;1903;1229;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1867_10;h3034;abbaye Saint-Victor
ENCPOS_1867_10;h3034;L’abbaye Saint-Victor de Paris, depuis sa fondation jusqu’au temps de saint Louis, 1108-1229 : histoire, état intérieur, enseignement de son école;Vétault;Alphonse;male;1867;1903;1229;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1867_10;h3034;Paris
ENCPOS_1868_04;h0575;Essai sur l’administration de Louis XI en Dauphiné avant son avènement au trône;Charavay;Étienne;male;1868;1903;1461;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1868_04;h0575;Dauphiné
ENCPOS_1868_05;h0928;Recherches sur l’introduction du christianisme dans les campagnes et l’origine des paroisses rurales en Normandie;Dolbet;François;male;1868;1899;1000;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1868_05;h0928;Normandie
ENCPOS_1868_09;h1535;Essai sur l’agriculture en Brie au XIIIe et XIVe siècle;Héron De Villefosse;Antoine;male;1868;1903;1399;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1868_09;h1535;Brie
ENCPOS_1868_12;h2190;Le prêt à intérêt en France jusqu’au XVe siècle;Meunier [Du Houssoy];Ernest;male;1868;1902;1499;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1868_12;h2190;France
ENCPOS_1869_02;h1348;Prolégomènes du cartulaire de l’église Notre-Dame de Saint-Omer;Giry;Arthur;male;1869;1901;1499;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1869_02;h1348;église Notre-Dame
ENCPOS_1869_04;h2146;De la condition forestière de l’Orléanais au Moyen Âge et à la Renaissance;Maulde, De;Alphonse-René;male;1869;1901;1599;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1869_04;h2146;Orléanais
ENCPOS_1869_05;h2560;Introduction au cartulaire de l’abbaye de Baume-les-Moines;Prost;Bernard;male;1869;1902;1789;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1869_05;h2560;abbaye de Baume-les-Moines
ENCPOS_1869_06;h3166;Étude historique et philologique sur les noms de famille en France;Sculford;Henry;male;1869;1899;1850;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1869_06;h3166;France
ENCPOS_1872_05;h2063;Étude sur les relations de Louis XI avec les Suisses;Mandrot;Bernard;male;1872;1903;1483;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1872_05;h2063;Suisses
ENCPOS_1872_06;h2287;Essai sur l’architecture religieuse en Saintonge pendant le cours des xie et XIIe siècles;Musset;Georges;male;1872;1902;1199;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1872_06;h2287;Saintonge
ENCPOS_1872_07;h2631;Les péages sur la navigation du Rhône;Reynaud;Félix;male;1872;1901;1499;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1872_07;h2631;Rhône
ENCPOS_1872_09;h2893;Étude sur les démembrements du comté d’Auvergne depuis la fin du XIIe siècle jusqu’en 1230;Teilhard;Emmanuel .;male;1872;1903;1230;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1872_09;h2893;comté d'Auvergne
ENCPOS_1873_01;h0101;Essai sur la diplomatique de Charles VII, d’après le formulaire des actes de ce roi, conservé à la Bibliothèque nationale, et d’après les documents originaux;Barbaud;Gabriel;male;1873;1903;1461;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1873_01;h0101;Bibliothèque nationale
ENCPOS_1873_02;h0321;Étude sur la réunion de Lyon à la couronne;Bonnassieux;Pierre;male;1873;1903;1399;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1873_02;h0321;Lyon
ENCPOS_1873_03;h0569;Essai sur l’industrie et le commerce à Metz du XIVe au XVIe siècle;Chanteau, De;Francis;male;1873;1903;1599;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1873_03;h0569;Metz
ENCPOS_1873_04;h0952;Histoire de la principauté de Talmond de 970 à 1145;Du Chêne;Arthur;male;1873;1902;1145;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1873_04;h0952;Talmond
ENCPOS_1873_05;h0984;Étude sur la diplomatique royale de Bourgogne-Jurane (888-1032), suivie d’un régeste des actes rodolphiens;Dufour;Théophile;male;1873;1902;1032;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1873_05;h0984;Bourgogne
ENCPOS_1873_07;h1787;De l’origine des vicomtes de Limoges;Lasteyrie, De;Robert;male;1873;1902;950;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1873_07;h1787;Limoges
ENCPOS_1873_10;h2396;Grands jours tenus à Poitiers de 1454 à 1634;Pasquier;Félix;male;1873;1903;1634;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1873_10;h2396;Poitiers
ENCPOS_1873_12;h2670;Notice sur le consulat et l’administration consulaire d’Aurillac du XIIIe au XVIe siècle;Rivain;Camille;male;1873;1903;1499;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1873_12;h2670;Aurillac du XIIIe
ENCPOS_1873_14;h2895;La salle de la Diana à Montbrison, examen critique des opinions émises sur ce monument héraldique;Tempier;Benoît-Dauphin;male;1873;1903;1310;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1873_14;h2895;Montbrison
ENCPOS_1874_01;h0664;Vues sur l’histoire de l’organisation judiciaire en France du IXe au XIIIe siècle, considérée au point de vue des juridictions extraordinaires;Cohn;Isaac-Adolphe;male;1874;1902;1299;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1874_01;h0664;France
ENCPOS_1874_02;h1471;Droits de navigation sur la Seine du xie au XIVe siècle, depuis la Roche-Guyon jusqu’à Paris;Guilmoto;Gustave;male;1874;1902;1399;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1874_02;h1471;la Seine
ENCPOS_1874_02;h1471;Droits de navigation sur la Seine du xie au XIVe siècle, depuis la Roche-Guyon jusqu’à Paris;Guilmoto;Gustave;male;1874;1902;1399;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1874_02;h1471;Paris
ENCPOS_1874_04;h2388;Étude historique sur la Maison-Dieu de Saint-Lo;Parfouru;Paul;male;1874;1903;1499;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1874_04;h2388;Saint-Lo
ENCPOS_1875_03;h1909;Droit maritime privé de la Méditerranée du xie au XIVe siècle;Lelong;Eugène;male;1875;1902;1399;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1875_03;h1909;Méditerranée
