,Unamed,Places,latitude,longitude,Lieux
10,10,Allemagne,51.0834196,10.4234469,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1983_12"" target=""_blank"">Service des vivres et munitionnaires sous l’Ancien Régime : la fourniture du pain de munition aux troupes de Flandre et d’Allemagne de 1701 à 1710</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1995_05"" target=""_blank"">La France et les “différends palatins” : l’intervention de Louis XIV dans la querelle du droit de Wildfang en Allemagne (1660-1674)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1892_12"" target=""_blank"">Charles de Marillac, ambassadeur de France auprès d’Henri VIII, de Charles-Quint et des princes d’Allemagne (de 1539 à 1553)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1988_03"" target=""_blank"">Le voyage de France en Allemagne de 1871 à 1914</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1864_12"" target=""_blank"">Essai sur la domination des empereurs d’Allemagne en Dauphiné et en Provence au Moyen Âge</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2010_24"" target=""_blank"">Leipzig : mythes, lectures et relectures d’une bataille napoléonienne en France et en Allemagne (1813-1871)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1878_09"" target=""_blank"">Contribution à l’histoire des relations de la France avec l’Allemagne sous Charles VII</a></i>"
11,11,Allier,46.36746405,3.163882848311948,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1896_05"" target=""_blank"">Essai sur l’influence de l’architecture auvergnate dans le département de l’Allier aux xie et XIIe siècles</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1908_02"" target=""_blank"">Formation et organisation du département de l’Allier</a></i>"
12,12,Alpes,45.9081401,9.141582381412086,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1963_15"" target=""_blank"">Le général Bourcet et la géographie des Alpes, 1748-1760</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1942_05"" target=""_blank"">Une vallée des Alpes briançonnaises. La Vallouise, des origines à la Révolution</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1906_08"" target=""_blank"">Le Comte Vert (Amédée VI de Savoie). Sa politique extérieure au Nord des Alpes</a></i>"
13,13,Alsace,48.24917645,7.4074699518555,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1857_04"" target=""_blank"">Des cours colongères en Alsace</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1939_12"" target=""_blank"">Études critiques sur l’Alsace à l’époque mérovingienne (496-751)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1968_13"" target=""_blank"">L’abbaye cistercienne de Pairis en Alsace, des origines à 1452</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1971_29"" target=""_blank"">L’architecture féodale en Alsace au XIIIe siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1923_08"" target=""_blank"">Essai sur l’histoire de la noblesse immédiate de la Basse-Alsace, depuis l’origine jusqu’au traité de Westphalie (1648)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1956_14"" target=""_blank"">Une famille bourgeoise d’Alsace : les Schneider de Colmar, de la fin du XVIe au début du XVIIIe siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1889_08"" target=""_blank"">Pierre de Hagenbach et la domination bourguignonne en Alsace de 1469 à 1474</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1931_14"" target=""_blank"">Les Hospitaliers en Basse-Alsace de 1217 à 1529</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1928_05"" target=""_blank"">L’architecture religieuse en Alsace à l’époque romane</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2004_23"" target=""_blank"">Les services d’Alsace-Lorraine face à la réintégration des départements de l’Est (1914-1919)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1960_17"" target=""_blank"">Les routes en Haute-Alsace à la fin de Moyen Âge</a></i>"
14,14,Alsace-Lorraine,48.8718053,2.5737252,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2004_23"" target=""_blank"">Les services d’Alsace-Lorraine face à la réintégration des départements de l’Est (1914-1919)</a></i>"
15,15,Ambert,45.5504338,3.742639,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1971_18"" target=""_blank"">La vie économique et sociale à Ambert en Livradois de 1580 à 1661</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1972_15"" target=""_blank"">La vie économique et sociale à Ambert au XVIIIe siècle</a></i>"
16,16,Amblainville,49.2028875,2.1208837,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1876_06"" target=""_blank"">De l’état des terres et des personnes dans la paroisse d’Amblainville (Vexin français) du XIIe au XVe siècle</a></i>"
17,17,Amboise,47.4110351,0.983698,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1972_13"" target=""_blank"">Le développement historique de la ville d’Amboise des origines jusqu’à la fin du XVIIIe siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1996_19"" target=""_blank"">Georges d’Amboise, archévêque de Rouen et légat a latere (1493-1510)</a></i>"
18,18,Ambronay,46.0055071,5.3602947,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1928_11"" target=""_blank"">Histoire de l’abbaye bénédictine d’Ambronay des origines à la Révolution</a></i>"
19,19,Amiens,49.8941708,2.2956951,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1913_12"" target=""_blank"">Étude sur l’abbaye de Cercamp (ordre de Cîteaux, diocèse d’Amiens)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1855_05"" target=""_blank"">De l’état du commerce et de l’industrie à Amiens du XIIe au XVIe siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1948_06"" target=""_blank"">Le bailliage d’Amiens aux XIIIe et XIVe siècles</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1877_02"" target=""_blank"">Les sires de Picquigny, vidames d’Amiens du xie au XIVe siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1957_11"" target=""_blank"">Les actes de évêques d’Amiens jusqu’au début du XIIIe siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1997_40"" target=""_blank"">Étude sur la vallée de la Somme entre Amiens et Saint-Valery-sur-Somme, du xie au début du XIVe siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1889_05"" target=""_blank"">Étude sur les monuments religieux de l’architecture romane dans les anciens diocèses d’Amiens, Arras et Thérouanne</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1919_02"" target=""_blank"">Les origines de la commune d’Amiens</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1954_22"" target=""_blank"">Les seigneurs de Picquigny, vidames d’Amiens, et leur famille, des origines à la fin du XIVe siècle</a></i>"
20,21,Ancelle,44.6235694,6.2097914,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1968_14"" target=""_blank"">Les lieux-dits d’Ancelle en Champsaur</a></i>"
21,22,Ancenis,47.3648141,-1.1816088,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1911_14"" target=""_blank"">Histoire du district d’Ancenis (1788-1800)</a></i>"
22,23,Angers,47.4739884,-0.5515588,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1932_15"" target=""_blank"">Les institutions municipales d’Angers de 1474 à 1584</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1912_07"" target=""_blank"">Étude sur la Chambre des comptes d Angers (1360?-1483)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1958_20"" target=""_blank"">Les scriptoria d’Angers au xie siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1967_12"" target=""_blank"">Le péage de la Cloison d’Angers (XVe-XVIIIe siècle) : contribution à l’étude du trafic de Loire à la fin de l’Ancien Régime</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1982_04"" target=""_blank"">L’action pastorale d’Henry Arnauld, évêque d’Angers (1650-1692)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1890_11"" target=""_blank"">La monnaie royale d’Angers (1319-1738)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1957_02"" target=""_blank"">Les hospices d’Angers sous la Révolution et le début de l’Empire (1789-1806)</a></i>"
23,24,Anglais,52.5310214,-1.2649062,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1987_16"" target=""_blank"">La pratique de la diplomatie sous le règne de Charles VI : ambassades et ambassadeurs français auprès des Anglais (1380-1422)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1923_10"" target=""_blank"">La lutte contre les Anglais en Anjou pendant la première moitié du XVe siècle</a></i>"
24,25,Angleterre,52.5310214,-1.2649062,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1854_06"" target=""_blank"">Essai sur l’état des personnes en Angleterre au xie siècle à la suite de la conquête normande, d’après les documents originaux et principalement le Domesday-Book, précédé de l’histoire de ce livre</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1965_01"" target=""_blank"">Les rapports diplomatiques de la France et de l’Angleterre après le traité de Paris (1763-1770)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1998_10"" target=""_blank"">Les ambassadeurs et l’ambassade de France en Angleterre</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1977_15"" target=""_blank"">Les voyageurs français en Angleterre et les voyageurs anglais en France de 1750 à 1789</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1890_13"" target=""_blank"">Étude sur le soulèvement des paysans d’Angleterre sous Richard II (1381) : la révolte dans les comtés de Hertford, Suffolk et Norfolk</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1888_08"" target=""_blank"">Essai sur l’histoire des relations diplomatiques de la France et de l’Angleterre pendant la seconde régence de Louise de Savoie (mars 1524-mai 1526)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1900_06"" target=""_blank"">Le premier divorce de Henri VIII et les relations entre la France et l’Angleterre de 1527 à 1534</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1902_11"" target=""_blank"">Étude sur les relations de Louis XI avec l’Angleterre</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1914_11"" target=""_blank"">Les relations de la Bretagne avec l’Angleterre sous le règne du duc François II (1458-1488)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1935_09"" target=""_blank"">Le bref royal de prohibition aux cours d’église en Angleterre (1187-1286)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1989_16"" target=""_blank"">L’opinion française sur l’Angleterre, de Fachoda à la Grande Guerre (1898-1914)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2008_02"" target=""_blank"">Représentations de la table et de la commensalité (1150-1350). Dans la moitié septentrionale de la France, l’Angleterre et les Pays-Bas</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1942_02"" target=""_blank"">Les appels à l’Angleterre des partis français en lutte (1411-1418)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1997_41"" target=""_blank"">Paul Barrillon, ambassadeur de France en Angleterre (1677-1688)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1882_02"" target=""_blank"">L’Université de Caen de 1432 à 1521, depuis la fondation par Henri VI, roi d’Angleterre, jusqu’à la réforme par François Ier</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1879_02"" target=""_blank"">Clément VI et la guerre de Cent ans. Étude sur les rapports de ce pape avec les rois de France et d’Angleterre pendant son pontificat</a></i>"
25,27,Angoumois,47.2248477,-1.5666526,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1925_02"" target=""_blank"">Essai sur le régime des terres en Angoumois et plus spécialement au nord de cette province, depuis les invasions normandes jusqu’à la guerre de Cent ans</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1894_01"" target=""_blank"">Renaud VI, sire de Pons, lieutenant du roi en Poitou, Saintonge et Angoumois, conservateur des Trêves de Guyenne (1348 ?-1427)</a></i>"
26,28,Anjou,47.4739884,-0.5515588,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1935_01"" target=""_blank"">Les possessions en Bretagne aux xie et XIIe siècles des abbayes bénédictines de Touraine, d’Anjou et de Normandie</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1879_07"" target=""_blank"">La Provence de 1245 à 1252, premières années de Charles d Anjou</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1890_18"" target=""_blank"">Louis Ier, duc d’Anjou, lieutenant général en Languedoc (1364-1380)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1904_10"" target=""_blank"">Les transformations politiques du comté d’Anjou sous les premiers Capétiens, le gouvernement de Foulque-Nerra (987-1040)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1932_03"" target=""_blank"">Le comté d’Anjou d’Henri Plantagenêt à la conquête de Philippe Auguste</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1939_02"" target=""_blank"">Jean d’Anjou, duc de Calabre et de Lorraine (1426-1470)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1867_05"" target=""_blank"">Recherches sur le lieu d’origine, la famille et la vie de Guillaume des Roches, sénéchal d’Anjou, du Maine et de Touraine, jusqu’à la conquête de ces trois provinces par Philippe-Auguste (1040-1204)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1933_03"" target=""_blank"">Charles d Anjou, premier comte du Maine (1414-1473)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1946_12"" target=""_blank"">Étude sur la géographie, l’histoire et l’administration de l’Anjou au XIIIe siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1903_07"" target=""_blank"">François de Valois, duc d’Alençon et d’Anjou, les Malcontents, les Pays-Bas (1554-1584)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1966_13"" target=""_blank"">L’hôtel des reines de France Isabeau de Bavière et Marie d Anjou de 1386 à 1463</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1961_17"" target=""_blank"">La tenure en parage dans les coutumes de l’ouest (Normandie, Touraine-Maine-Anjou et Bretagne) aux XIIe et XIIIe siècles</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1923_10"" target=""_blank"">La lutte contre les Anglais en Anjou pendant la première moitié du XVe siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1890_14"" target=""_blank"">La chancellerie du roi René en Anjou et en Provence</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1945_03"" target=""_blank"">Le domaine comtal de Provence à l’avènement de Charles Ier d’Anjou (1246)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1980_20"" target=""_blank"">Évolution des structures administratives, économiques et sociales de la viguerie de Nice à travers les enquêtes générales de Charles Ier d’Anjou (1252), Charles II (1298) et Léopard de Fulginet (1333)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1923_05"" target=""_blank"">La propriété foncière en Anjou du IXe siècle à la fin du XIIIe siècle. Étude sur la condition des personnes et des terres</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1891_07"" target=""_blank"">La chancellerie du roi René en Anjou et en Provence</a></i>"
27,30,Antilles,18.77858115,-70.5427697709766,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1902_02"" target=""_blank"">Les Antilles françaises avant Colbert ( ?-1664) : les sources, les origines</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2009_09"" target=""_blank"">Les sociétés Chauvet. Négoce et révolutions entre Marseille et les Antilles (1785-1805)</a></i>"
28,32,Aquitaine,44.24620635,-0.183997873923679,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1916_02"" target=""_blank"">Étude et catalogue des actes des comtes de Poitou, ducs d’Aquitaine (778-1137)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1854_08"" target=""_blank"">Essai sur les variations des limites géographiques et de la constitution politique de l’Aquitaine, depuis César jusqu’à l’an 613</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1949_20"" target=""_blank"">L’organisation d’un prieuré de l’ordre de Malte aux XVIIe et XVIIIe siècle, d’après le prieuré d’Aquitaine</a></i>"
29,33,Aragon,41.3787291,-0.7639373,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1900_03"" target=""_blank"">Études sur les relations de Louis XI avec Jean II d’Aragon et le principat de Catalogne (1461-1473)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1903_13"" target=""_blank"">La politique hors d’Espagne d’Alfonse II, roi d’Aragon (1162-1196), marquis de Provencce</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1932_08"" target=""_blank"">Les relations de la Navarre avec l’Aragon et la Castille sous le règne de Charles le Mauvais (1349-1387)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1907_13"" target=""_blank"">Relations de Pierre IV le Cérémonieux, roi d’Aragon, avec la France, de 1340 à 1380</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1903_14"" target=""_blank"">Introduction au catalogue des actes de Ferri II dit III, roi d’Aragon (1251-1303)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1987_15"" target=""_blank"">L’immigration française en Aragon au XVIe siècle et dans la première moitié du XVIIe siècle</a></i>"
30,34,Ardier,45.541657400000005,3.252535193845234,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1994_05"" target=""_blank"">Une famille de financiers au XVIIe siècle : les Ardier, seigneurs de Beauregard</a></i>"
31,35,Argentens,43.9481982,0.1914003,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1930_01"" target=""_blank"">La commanderie d’Argentens (vers 1155-1588)</a></i>"
32,36,Argos,37.6349825,22.7285119,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1883_03"" target=""_blank"">Histoire du duché d’Athènes et de la baronnie d’Argos</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1884_02"" target=""_blank"">Histoire du duché d’Athènes et de la baronnie d’Argos</a></i>"
33,38,Arles,43.6776223,4.6309653,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1931_17"" target=""_blank"">L’institution des Monnoyers du Serment d’Empire dans le royaume d’Arles et de VIenne et ses filiales en France de 1343 à 1541</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1996_04"" target=""_blank"">Le chartrier de l’archévêché d’Arles (417-1202)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1910_21"" target=""_blank"">L’abbaye de Montmajour-lez-Arles du Xe au XVe siècle</a></i>"
34,39,Armagnac,43.5363268,1.0671435,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1901_16"" target=""_blank"">La chute de la maison d’Armagnac, contribution à l’étude des relations de la royauté avec la féodalité méridionale au XVe siècle</a></i>"
35,41,Arras,50.291048,2.7772211,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1902_03"" target=""_blank"">Jean Canard, avocat du roi au Parlement, chancelier de Bourgogne et évêque d’Arras (13..-1407)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1970_11"" target=""_blank"">Le scriptorium de Saint-Vaast d’Arras des origines au XIIe siècle. Contribution à l’étude des notations neumatiques du nord de la France</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1999_27"" target=""_blank"">Le Codex de Lambert, évêque d’Arras (1093-1115). Introduction, édition et traduction</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1889_05"" target=""_blank"">Étude sur les monuments religieux de l’architecture romane dans les anciens diocèses d’Amiens, Arras et Thérouanne</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2001_22"" target=""_blank"">Aspects militaires de la guerre pour la succession de Bourgogne, de Nancy au traité d’Arras (5 janvier 1477-23 décembre 1482)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1967_08"" target=""_blank"">Les comptes du bailli d’Arras au XIVe siècle, source du droit criminel et pénal</a></i>"
36,42,Arsenal,51.5583839,-0.1074866,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1914_02"" target=""_blank"">Li livres d Amours de Drouart la Vache. Texte établi d’après le manuscrit unique de l’Arsenal, avec une introduction littéraire et philologique, un glossaire et une table des noms propres</a></i>"
37,43,Artois,50.291048,2.7772211,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1896_02"" target=""_blank"">Les baillis de l’Artois. Étude sur l’administration de l’Artois au XIIIe siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1956_03"" target=""_blank"">L’organisation et le rôle financier des états d’Artois de 1661 à 1789</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1974_26"" target=""_blank"">Étude sur l’Ancien Régime agraire. La question des biens communaux en Artois de la fin du XVIIe siècle au début du xixe siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1910_12"" target=""_blank"">Les États d’Artois, depuis leur origine jusqu’à la réconciliation des provinces wallonnes avec Philippe II (1340-1579)</a></i>"
38,45,Artémise,48.8071397,2.1122143,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1998_02"" target=""_blank"">Les voyages autour du monde de Cyrille-Pierre-Théodore Laplace : les campagnes de La Favorite (1829-1932) et de l’Artémise  (1837-1840)</a></i>"
